Source	Target	Date
FRA	TGO	2020-03-06
USA	CRI	2020-03-06
ITA	MDV	2020-03-07
ITA	MLT	2020-03-07
ITA	MDA	2020-03-07
ECU	PRY	2020-03-07
ITA	BGD	2020-03-07
ITA	ALB	2020-03-09
MYS	BRN	2020-03-09
ESP	GGY	2020-03-09
FRA	BFA	2020-03-09
GBR	CYP	2020-03-09
ITA	CYP	2020-03-09
DEU	CYP	2020-03-09
FRA	MNG	2020-03-10
ITA	BOL	2020-03-10
GBR	JAM	2020-03-10
BEL	COD	2020-03-10
ITA	JEY	2020-03-10
FRA	PYF	2020-03-11
ESP	HND	2020-03-11
CHE	HND	2020-03-11
ITA	CIV	2020-03-11
USA	REU	2020-03-11
GBR	VCT	2020-03-11
ITA	CUB	2020-03-11
USA	GUY	2020-03-11
GRC	CYP	2020-03-12
DOM	GLP	2020-03-12
CHE	TTO	2020-03-12
FRA	GAB	2020-03-12
NOR	GHA	2020-03-12
TUR	GHA	2020-03-12
USA	KEN	2020-03-12
ARE	SDN	2020-03-13
GBR	ATG	2020-03-13
JPN	ETH	2020-03-13
DEU	KAZ	2020-03-13
ITA	KAZ	2020-03-13
NLD	CUW	2020-03-13
ESP	URY	2020-03-13
ITA	URY	2020-03-13
USA	ABW	2020-03-13
CHN	VIR	2020-03-13
ESP	NAM	2020-03-14
ITA	CAF	2020-03-14
ESP	GNQ	2020-03-14
USA	SWZ	2020-03-14
FRA	MYT	2020-03-14
IND	RWA	2020-03-14
ITA	SYC	2020-03-14
FRA	UZB	2020-03-15
PHL	GUM	2020-03-15
JPN	GUM	2020-03-15
CHN	SOM	2020-03-16
CHE	LBR	2020-03-16
BEL	TZA	2020-03-16
BEL	BEN	2020-03-16
USA	MNE	2020-03-17
ESP	MNE	2020-03-17
GBR	MSR	2020-03-17
GBR	GMB	2020-03-17
FRA	ZMB	2020-03-18
SAU	KGZ	2020-03-18
ESP	DJI	2020-03-18
USA	BRB	2020-03-18
GBR	MUS	2020-03-18
ITA	SLV	2020-03-18
AUS	NCL	2020-03-18
PAN	NIC	2020-03-19
CMR	TCD	2020-03-19
TGO	NER	2020-03-19
GHA	NER	2020-03-19
CIV	NER	2020-03-19
BFA	NER	2020-03-19
USA	FJI	2020-03-19
ESP	IMN	2020-03-19
ESP	PNG	2020-03-20
GBR	CPV	2020-03-20
GBR	ZWE	2020-03-20
FRA	MDG	2020-03-20
MUS	MDG	2020-03-20
PRT	AGO	2020-03-21
NOR	ERI	2020-03-21
ARE	UGA	2020-03-21
GBR	GRD	2020-03-22
GBR	MOZ	2020-03-22
GBR	DMA	2020-03-22
GBR	MMR	2020-03-23
USA	MMR	2020-03-23
USA	BLZ	2020-03-23
USA	TCA	2020-03-23
THA	LAO	2020-03-24
KHM	LAO	2020-03-24
SAU	LBY	2020-03-24
USA	KNA	2020-03-24
COD	GNB	2020-03-25
IND	GNB	2020-03-25
FRA	MLI	2020-03-25
USA	VGB	2020-03-25
USA	AIA	2020-03-26
GBR	BWA	2020-03-30
THA	BWA	2020-03-30
FRA	SLE	2020-03-31
NLD	BES	2020-03-31
RWA	BDI	2020-04-01
ARE	BDI	2020-04-01
IND	MWI	2020-04-02
GBR	FLK	2020-04-03
NLD	SSD	2020-04-05
